,Symbol,Name,Sector
0,NXPI,NXP,Information Technology
1,MMM,3M,Industrials
2,CAH,Cardinal Health,Health Care
3,AMZN,Amazon,Consumer Discretionary
4,LUMN,Lumen Technologies,Communication Services
5,UDR,UDR,Real Estate
6,COP,ConocoPhillips,Energy
7,CNP,CenterPoint Energy,Utilities
8,HAS,Hasbro,Consumer Discretionary
9,OKE,Oneok,Energy
10,VMC,Vulcan Materials,Materials
11,EBAY,eBay,Consumer Discretionary
12,DLR,Digital Realty Trust,Real Estate
13,CB,Chubb,Financials
14,BA,Boeing,Industrials
15,GPC,Genuine Parts,Consumer Discretionary
16,WRK,WestRock,Materials
17,TEL,TE Connectivity,Information Technology
18,RL,Ralph Lauren Corporation,Consumer Discretionary
19,TFC,Truist Financial,Financials
